ass1;ass2;abs
05.554;05.554;0
05.554;05.555;0.125
05.554;05.556;0.125
05.554;05.557;0.125
05.554;05.558;0.25
05.554;05.559;0.125
05.554;05.560;0.375
05.554;05.561;0
05.554;05.562;0.125
05.554;05.563;0
05.554;05.564;0.25
05.554;05.565;0
05.554;05.566;0.375
05.554;05.567;0.375
05.554;05.568;0.375
05.554;05.569;0.25
05.554;05.570;0
05.554;05.571;0.5
05.554;05.572;0.5
05.554;05.573;0.25
05.554;05.574;0.625
05.554;05.575;0.5
05.554;05.576;0.625
05.554;05.577;0.625
05.554;05.578;0.625
05.554;05.579;0.625
05.554;05.580;0.625
05.554;05.581;0.625
05.554;05.582;0.5
05.554;05.583;0.625
05.554;05.584;0.625
05.554;05.585;0.5
05.554;05.586;0.625
05.554;05.587;0.625
05.554;05.588;0.625
05.554;05.589;0.625
05.554;05.590;0.25
05.554;05.591;0.625
05.554;05.592;0.625
05.554;05.593;0.625
05.554;05.594;0.625
05.554;05.595;0.625
05.554;05.596;0.625
05.554;05.597;0.625
05.554;05.598;0.625
05.554;05.599;0.625
05.554;05.600;0.625
05.554;05.601;0.625
05.554;05.604;0.625
05.554;05.607;0.625
05.554;05.611;0.375
05.554;05.613;0.625
05.554;05.614;0.125
05.554;05.615;0.625
05.554;05.616;0.875
05.554;22.400;0.125
05.555;05.554;0.125
05.555;05.555;0
05.555;05.556;0
05.555;05.557;0
05.555;05.558;0.125
05.555;05.559;0
05.555;05.560;0.25
05.555;05.561;0.125
05.555;05.562;0
05.555;05.563;0.125
05.555;05.564;0.125
05.555;05.565;0.125
05.555;05.566;0.25
05.555;05.567;0.25
05.555;05.568;0.25
05.555;05.569;0.125
05.555;05.570;0.125
05.555;05.571;0.375
05.555;05.572;0.375
05.555;05.573;0.125
05.555;05.574;0.5
05.555;05.575;0.375
05.555;05.576;0.5
05.555;05.577;0.5
05.555;05.578;0.5
05.555;05.579;0.5
05.555;05.580;0.5
05.555;05.581;0.5
05.555;05.582;0.375
05.555;05.583;0.5
05.555;05.584;0.5
05.555;05.585;0.375
05.555;05.586;0.5
05.555;05.587;0.5
05.555;05.588;0.5
05.555;05.589;0.5
05.555;05.590;0.125
05.555;05.591;0.5
05.555;05.592;0.5
05.555;05.593;0.5
05.555;05.594;0.5
05.555;05.595;0.5
05.555;05.596;0.5
05.555;05.597;0.5
05.555;05.598;0.5
05.555;05.599;0.5
05.555;05.600;0.5
05.555;05.601;0.5
05.555;05.604;0.5
05.555;05.607;0.5
05.555;05.611;0.25
05.555;05.613;0.5
05.555;05.614;0.25
05.555;05.615;0.5
05.555;05.616;0.75
05.555;22.400;0.25
05.556;05.554;0.125
05.556;05.555;0
05.556;05.556;0
05.556;05.557;0
05.556;05.558;0.125
05.556;05.559;0
05.556;05.560;0.25
05.556;05.561;0.125
05.556;05.562;0
05.556;05.563;0.125
05.556;05.564;0.125
05.556;05.565;0.125
05.556;05.566;0.25
05.556;05.567;0.25
05.556;05.568;0.25
05.556;05.569;0.125
05.556;05.570;0.125
05.556;05.571;0.375
05.556;05.572;0.375
05.556;05.573;0.125
05.556;05.574;0.5
05.556;05.575;0.375
05.556;05.576;0.5
05.556;05.577;0.5
05.556;05.578;0.5
05.556;05.579;0.5
05.556;05.580;0.5
05.556;05.581;0.5
05.556;05.582;0.375
05.556;05.583;0.5
05.556;05.584;0.5
05.556;05.585;0.375
05.556;05.586;0.5
05.556;05.587;0.5
05.556;05.588;0.5
05.556;05.589;0.5
05.556;05.590;0.125
05.556;05.591;0.5
05.556;05.592;0.5
05.556;05.593;0.5
05.556;05.594;0.5
05.556;05.595;0.5
05.556;05.596;0.5
05.556;05.597;0.5
05.556;05.598;0.5
05.556;05.599;0.5
05.556;05.600;0.5
05.556;05.601;0.5
05.556;05.604;0.5
05.556;05.607;0.5
05.556;05.611;0.25
05.556;05.613;0.5
05.556;05.614;0.25
05.556;05.615;0.5
05.556;05.616;0.75
05.556;22.400;0.25
05.557;05.554;0.125
05.557;05.555;0
05.557;05.556;0
05.557;05.557;0
05.557;05.558;0.125
05.557;05.559;0
05.557;05.560;0.25
05.557;05.561;0.125
05.557;05.562;0
05.557;05.563;0.125
05.557;05.564;0.125
05.557;05.565;0.125
05.557;05.566;0.25
05.557;05.567;0.25
05.557;05.568;0.25
05.557;05.569;0.125
05.557;05.570;0.125
05.557;05.571;0.375
05.557;05.572;0.375
05.557;05.573;0.125
05.557;05.574;0.5
05.557;05.575;0.375
05.557;05.576;0.5
05.557;05.577;0.5
05.557;05.578;0.5
05.557;05.579;0.5
05.557;05.580;0.5
05.557;05.581;0.5
05.557;05.582;0.375
05.557;05.583;0.5
05.557;05.584;0.5
05.557;05.585;0.375
05.557;05.586;0.5
05.557;05.587;0.5
05.557;05.588;0.5
05.557;05.589;0.5
05.557;05.590;0.125
05.557;05.591;0.5
05.557;05.592;0.5
05.557;05.593;0.5
05.557;05.594;0.5
05.557;05.595;0.5
05.557;05.596;0.5
05.557;05.597;0.5
05.557;05.598;0.5
05.557;05.599;0.5
05.557;05.600;0.5
05.557;05.601;0.5
05.557;05.604;0.5
05.557;05.607;0.5
05.557;05.611;0.25
05.557;05.613;0.5
05.557;05.614;0.25
05.557;05.615;0.5
05.557;05.616;0.75
05.557;22.400;0.25
05.558;05.554;0.25
05.558;05.555;0.125
05.558;05.556;0.125
05.558;05.557;0.125
05.558;05.558;0
05.558;05.559;0.125
05.558;05.560;0.125
05.558;05.561;0.25
05.558;05.562;0.125
05.558;05.563;0.25
05.558;05.564;0
05.558;05.565;0.25
05.558;05.566;0.125
05.558;05.567;0.125
05.558;05.568;0.125
05.558;05.569;0
05.558;05.570;0.25
05.558;05.571;0.25
05.558;05.572;0.25
05.558;05.573;0
05.558;05.574;0.375
05.558;05.575;0.25
05.558;05.576;0.375
05.558;05.577;0.375
05.558;05.578;0.375
05.558;05.579;0.375
05.558;05.580;0.375
05.558;05.581;0.375
05.558;05.582;0.25
05.558;05.583;0.375
05.558;05.584;0.375
05.558;05.585;0.25
05.558;05.586;0.375
05.558;05.587;0.375
05.558;05.588;0.375
05.558;05.589;0.375
05.558;05.590;0
05.558;05.591;0.375
05.558;05.592;0.375
05.558;05.593;0.375
05.558;05.594;0.375
05.558;05.595;0.375
05.558;05.596;0.375
05.558;05.597;0.375
05.558;05.598;0.375
05.558;05.599;0.375
05.558;05.600;0.375
05.558;05.601;0.375
05.558;05.604;0.375
05.558;05.607;0.375
05.558;05.611;0.125
05.558;05.613;0.375
05.558;05.614;0.375
05.558;05.615;0.375
05.558;05.616;0.625
05.558;22.400;0.375
05.559;05.554;0.125
05.559;05.555;0
05.559;05.556;0
05.559;05.557;0
05.559;05.558;0.125
05.559;05.559;0
05.559;05.560;0.25
05.559;05.561;0.125
05.559;05.562;0
05.559;05.563;0.125
05.559;05.564;0.125
05.559;05.565;0.125
05.559;05.566;0.25
05.559;05.567;0.25
05.559;05.568;0.25
05.559;05.569;0.125
05.559;05.570;0.125
05.559;05.571;0.375
05.559;05.572;0.375
05.559;05.573;0.125
05.559;05.574;0.5
05.559;05.575;0.375
05.559;05.576;0.5
05.559;05.577;0.5
05.559;05.578;0.5
05.559;05.579;0.5
05.559;05.580;0.5
05.559;05.581;0.5
