ass1;ass2;dif
05.554;05.554;0.531818
05.554;05.555;0.588235
05.554;05.556;0.317204
05.554;05.557;0.41652
05.554;05.558;0.352518
05.554;05.559;0.340517
05.554;05.560;0.177778
05.554;05.561;0.233906
05.554;05.562;0.528058
05.554;05.563;0.345223
05.554;05.564;0.76
05.554;05.565;0.399798
05.554;05.566;0.6875
05.554;05.567;0.578947
05.554;05.568;0.412281
05.554;05.569;0.315789
05.554;05.570;0.476122
05.554;05.571;0.27027
05.554;05.572;0.0
05.554;05.573;0.44
05.554;05.574;0.0
05.554;05.575;0.578947
05.554;05.576;0.0
05.554;05.577;0.0
05.554;05.578;0.0
05.554;05.579;0.0
05.554;05.580;0.0
05.554;05.581;0.0
05.554;05.582;0.428571
05.554;05.583;0.0
05.554;05.584;0.0
05.554;05.585;0.533333
05.554;05.586;0.0
05.554;05.587;0.0
05.554;05.588;0.0
05.554;05.589;0.0
05.554;05.590;0.217391
05.554;05.591;0.0
05.554;05.592;0.0
05.554;05.593;0.0
05.554;05.594;0.0
05.554;05.595;0.0
05.554;05.596;0.0
05.554;05.597;0.0
05.554;05.598;0.0
05.554;05.599;0.0
05.554;05.600;0.0
05.554;05.601;0.0
05.554;05.604;0.0
05.554;05.607;0.0
05.554;05.611;0.517647
05.554;05.613;0.0
05.554;05.614;0.311594
05.554;05.615;0.0
05.554;05.616;0.0
05.554;22.400;0.0
05.555;05.554;0.588235
05.555;05.555;0.616279
05.555;05.556;0.202381
05.555;05.557;0.34072
05.555;05.558;0.209386
05.555;05.559;0.196721
05.555;05.560;0.111111
05.555;05.561;0.139423
05.555;05.562;0.42757
05.555;05.563;0.194631
05.555;05.564;0.358974
05.555;05.565;0.273632
05.555;05.566;0.337838
05.555;05.567;0.366667
05.555;05.568;0.276471
05.555;05.569;0.29661
05.555;05.570;0.400387
05.555;05.571;0.278689
05.555;05.572;0.433333
05.555;05.573;0.397695
05.555;05.574;0.0
05.555;05.575;0.444444
05.555;05.576;0.0
05.555;05.577;0.0
05.555;05.578;0.0
05.555;05.579;0.0
05.555;05.580;0.0
05.555;05.581;0.0
05.555;05.582;0.175
05.555;05.583;0.0
05.555;05.584;0.0
05.555;05.585;0.296296
05.555;05.586;0.5
05.555;05.587;0.0
05.555;05.588;0.0
05.555;05.589;0.166667
05.555;05.590;0.154255
05.555;05.591;0.0
05.555;05.592;0.0
05.555;05.593;0.357143
05.555;05.594;0.0
05.555;05.595;0.0
05.555;05.596;0.190476
05.555;05.597;0.0
05.555;05.598;0.0
05.555;05.599;0.0
05.555;05.600;0.0
05.555;05.601;0.0
05.555;05.604;0.0
05.555;05.607;0.0
05.555;05.611;0.274194
05.555;05.613;0.0
05.555;05.614;0.146667
05.555;05.615;0.0
05.555;05.616;0.0
05.555;22.400;0.0
05.556;05.554;0.317204
05.556;05.555;0.202381
05.556;05.556;0.25641
05.556;05.557;0.201439
05.556;05.558;0.123839
05.556;05.559;0.201183
05.556;05.560;0.0879121
05.556;05.561;0.152672
05.556;05.562;0.225581
05.556;05.563;0.178174
05.556;05.564;0.15
05.556;05.565;0.21371
05.556;05.566;0.124031
05.556;05.567;0.210526
05.556;05.568;0.162879
05.556;05.569;0.0909091
05.556;05.570;0.214431
05.556;05.571;0.129412
