ass1;ass2;pop
05.554;05.554;0.0
05.554;05.555;0.333052
05.554;05.556;0.597557
05.554;05.557;0.826128
05.554;05.558;0.538015
05.554;05.559;0.642733
05.554;05.560;0.307466
05.554;05.561;0.785306
05.554;05.562;0.867019
05.554;05.563;0.891911
05.554;05.564;0.18731
05.554;05.565;0.938928
05.554;05.566;0.0960789
05.554;05.567;0.131209
05.554;05.568;0.497483
05.554;05.569;0.131209
05.554;05.570;0.865839
05.554;05.571;0.267451
05.554;05.572;0.0
05.554;05.573;0.329004
05.554;05.574;0.0
05.554;05.575;0.272903
05.554;05.576;0.0
05.554;05.577;0.0
05.554;05.578;0.0
05.554;05.579;0.0
05.554;05.580;0.0
05.554;05.581;0.0
05.554;05.582;0.0687822
05.554;05.583;0.0
05.554;05.584;0.0
05.554;05.585;0.0828858
05.554;05.586;0.0
05.554;05.587;0.0
05.554;05.588;0.0
05.554;05.589;0.0
05.554;05.590;0.311959
05.554;05.591;0.0
05.554;05.592;0.0
05.554;05.593;0.0
05.554;05.594;0.0
05.554;05.595;0.0
05.554;05.596;0.0
05.554;05.597;0.0
05.554;05.598;0.0
05.554;05.599;0.0
05.554;05.600;0.0
05.554;05.601;0.0
05.554;05.604;0.0
05.554;05.607;0.0
05.554;05.611;0.437476
05.554;05.613;0.0
05.554;05.614;0.761119
05.554;05.615;0.0
05.554;05.616;0.0
05.554;22.400;0.0
05.555;05.554;0.333052
05.555;05.555;0.0
05.555;05.556;0.659637
05.555;05.557;0.733116
05.555;05.558;0.678972
05.555;05.559;0.594233
05.555;05.560;0.468644
05.555;05.561;0.62041
05.555;05.562;0.767917
05.555;05.563;0.693911
05.555;05.564;0.502793
05.555;05.565;0.755106
05.555;05.566;0.409146
05.555;05.567;0.366274
05.555;05.568;0.57917
05.555;05.569;0.504533
05.555;05.570;0.806537
05.555;05.571;0.511347
05.555;05.572;0.22458
05.555;05.573;0.72503
05.555;05.574;0.0
05.555;05.575;0.307466
05.555;05.576;0.0
05.555;05.577;0.0
05.555;05.578;0.0
05.555;05.579;0.0
05.555;05.580;0.0
05.555;05.581;0.0
05.555;05.582;0.283388
05.555;05.583;0.0
05.555;05.584;0.0
05.555;05.585;0.344736
05.555;05.586;0
05.555;05.587;0.0
05.555;05.588;0.0
05.555;05.589;0.178965
05.555;05.590;0.599744
05.555;05.591;0.0
05.555;05.592;0.0
05.555;05.593;0.0687822
05.555;05.594;0.0
05.555;05.595;0.0
05.555;05.596;0.151668
05.555;05.597;0.0
05.555;05.598;0.0
05.555;05.599;0.0
05.555;05.600;0.0
05.555;05.601;0.0
05.555;05.604;0.0
05.555;05.607;0.0
05.555;05.611;0.514671
05.555;05.613;0.0
05.555;05.614;0.553584
05.555;05.615;0.0
05.555;05.616;0.0
05.555;22.400;0.0
05.556;05.554;0.597557
05.556;05.555;0.659637
05.556;05.556;0.0
05.556;05.557;0.762595
05.556;05.558;0.710379
05.556;05.559;0.577964
05.556;05.560;0.451419
05.556;05.561;0.525897
05.556;05.562;0.76887
05.556;05.563;0.777709
05.556;05.564;0.53948
05.556;05.565;0.656366
05.556;05.566;0.522752
05.556;05.567;0.355789
05.556;05.568;0.669146
05.556;05.569;0.558964
05.556;05.570;0.938099
05.556;05.571;0.437476
05.556;05.572;0.444566
05.556;05.573;0.61644
05.556;05.574;0.0
05.556;05.575;0.348487
05.556;05.576;0.0
05.556;05.577;0.0
05.556;05.578;0.0
05.556;05.579;0.0
05.556;05.580;0.0
05.556;05.581;0.0
05.556;05.582;0.394845
05.556;05.583;0
05.556;05.584;0.0372705
05.556;05.585;0.417269
05.556;05.586;0.0960789
05.556;05.587;0.0
05.556;05.588;0.0
05.556;05.589;0.324874
05.556;05.590;0.524331
05.556;05.591;0.0
05.556;05.592;0.0
05.556;05.593;0.170265
05.556;05.594;0.0
05.556;05.595;0.0
05.556;05.596;0.0372705
05.556;05.597;0
05.556;05.598;0.0
05.556;05.599;0.0
05.556;05.600;0.0
05.556;05.601;0.0
05.556;05.604;0.0
05.556;05.607;0.0
05.556;05.611;0.54238
05.556;05.613;0.161178
05.556;05.614;0.901823
05.556;05.615;0.0
05.556;05.616;0.0
05.556;22.400;0.0
05.557;05.554;0.826128
05.557;05.555;0.733116
05.557;05.556;0.762595
05.557;05.557;0.0
05.557;05.558;0.666025
05.557;05.559;0.793475
05.557;05.560;0.522752
05.557;05.561;0.70719
05.557;05.562;0.969254
05.557;05.563;0.832146
05.557;05.564;0.422511
05.557;05.565;0.761612
05.557;05.566;0.355789
05.557;05.567;0.22458
05.557;05.568;0.711641
05.557;05.569;0.521162
05.557;05.570;0.925017
05.557;05.571;0.552216
05.557;05.572;0.293362
05.557;05.573;0.633726
05.557;05.574;0.0
05.557;05.575;0.340915
05.557;05.576;0.0
05.557;05.577;0.0
05.557;05.578;0.0
05.557;05.579;0.0
05.557;05.580;0.0
05.557;05.581;0.0
05.557;05.582;0.267451
05.557;05.583;0.0
05.557;05.584;0.0536329
05.557;05.585;0.414597
05.557;05.586;0.0687822
05.557;05.587;0.0
05.557;05.588;0.0
05.557;05.589;0.329004
05.557;05.590;0.53948
05.557;05.591;0.0
05.557;05.592;0.0
05.557;05.593;0.141694
05.557;05.594;0.0
05.557;05.595;0
05.557;05.596;0.170265
05.557;05.597;0.0372705
05.557;05.598;0.0
05.557;05.599;0.0
05.557;05.600;0.0194835
05.557;05.601;0.0
05.557;05.604;0.0536329
05.557;05.607;0
05.557;05.611;0.482609
05.557;05.613;0.0194835
05.557;05.614;0.484529
05.557;05.615;0.0
05.557;05.616;0.0
05.557;22.400;0.0
05.558;05.554;0.538015
05.558;05.555;0.678972
05.558;05.556;0.710379
05.558;05.557;0.666025
05.558;05.558;0.0
05.558;05.559;0.521162
05.558;05.560;0.538015
05.558;05.561;0.394845
05.558;05.562;0.676746
05.558;05.563;0.666025
05.558;05.564;0.591987
05.558;05.565;0.611368
05.558;05.566;0.540935
05.558;05.567;0.417269
05.558;05.568;0.768394
05.558;05.569;0.714762
05.558;05.570;0.712895
05.558;05.571;0.612392
05.558;05.572;0.493865
05.558;05.573;0.705252
05.558;05.574;0.0536329
05.558;05.575;0.397786
05.558;05.576;0.0
05.558;05.577;0.0
05.558;05.578;0.0
05.558;05.579;0.0
05.558;05.580;0.0
05.558;05.581;0.0194835
05.558;05.582;0.460213
05.558;05.583;0.0
05.558;05.584;0.18731
05.558;05.585;0.470698
05.558;05.586;0.161178
05.558;05.587;0.0828858
05.558;05.588;0.0
05.558;05.589;0.451419
05.558;05.590;0.629069
05.558;05.591;0.0
05.558;05.592;0.0
05.558;05.593;0.231283
05.558;05.594;0.0
05.558;05.595;0.170265
05.558;05.596;0.316355
05.558;05.597;0.278213
05.558;05.598;0.21765
05.558;05.599;0.131209
05.558;05.600;0.203042
05.558;05.601;0
05.558;05.604;0.231283
05.558;05.607;0.0828858
05.558;05.611;0.610338
05.558;05.613;0.22458
05.558;05.614;0.203042
05.558;05.615;0.0
05.558;05.616;0.108472
05.558;22.400;0.0
05.559;05.554;0.642733
05.559;05.555;0.594233
05.559;05.556;0.577964
05.559;05.557;0.793475
05.559;05.558;0.521162
05.559;05.559;0.0
05.559;05.560;0.355789
05.559;05.561;0.58857
05.559;05.562;0.754597
05.559;05.563;0.689052
05.559;05.564;0.435056
05.559;05.565;0.614426
05.559;05.566;0.43013
05.559;05.567;0.250166
05.559;05.568;0.517942
05.559;05.569;0.414597
05.559;05.570;0.728535
05.559;05.571;0.486431
05.559;05.572;0.288436
05.559;05.573;0.497483
05.559;05.574;0.0
05.559;05.575;0.359344
05.559;05.576;0.0
05.559;05.577;0.0194835
05.559;05.578;0.0
05.559;05.579;0.0
05.559;05.580;0.0687822
05.559;05.581;0.0194835
05.559;05.582;0.41189
05.559;05.583;0.0
05.559;05.584;0.18731
05.559;05.585;0.385758
05.559;05.586;0.120156
05.559;05.587;0.0960789
05.559;05.588;0.0
05.559;05.589;0.352171
05.559;05.590;0.476741
05.559;05.591;0.0
05.559;05.592;0.0
05.559;05.593;0.18731
05.559;05.594;0.0
05.559;05.595;0.0960789
05.559;05.596;0.120156
05.559;05.597;0.0960789
05.559;05.598;0
05.559;05.599;0.0536329
05.559;05.600;0.0960789
05.559;05.601;0.0
05.559;05.604;0.161178
05.559;05.607;0.0828858
05.559;05.611;0.400686
05.559;05.613;0.178965
05.559;05.614;0.672982
05.559;05.615;0.0
05.559;05.616;0.108472
05.559;22.400;0.0
05.560;05.554;0.307466
05.560;05.555;0.468644
05.560;05.556;0.451419
05.560;05.557;0.522752
05.560;05.558;0.538015
05.560;05.559;0.355789
05.560;05.560;0.0
05.560;05.561;0.231283
05.560;05.562;0.444566
05.560;05.563;0.543814
05.560;05.564;0.446876
05.560;05.565;0.419907
05.560;05.566;0.435056
05.560;05.567;0.283388
05.560;05.568;0.488315
05.560;05.569;0.502793
05.560;05.570;0.535052
05.560;05.571;0.472732
05.560;05.572;0.324874
05.560;05.573;0.502793
05.560;05.574;0.131209
05.560;05.575;0.316355
05.560;05.576;0.0828858
05.560;05.577;0.0
05.560;05.578;0.0
05.560;05.579;0.0
05.560;05.580;0.0372705
05.560;05.581;0.0194835
05.560;05.582;0.397786
05.560;05.583;0.0372705
05.560;05.584;0.237773
05.560;05.585;0.302872
05.560;05.586;0.210476
05.560;05.587;0.161178
05.560;05.588;0.0687822
05.560;05.589;0.394845
05.560;05.590;0.446876
05.560;05.591;0.0
05.560;05.592;0.0
05.560;05.593;0.237773
05.560;05.594;0.0
05.560;05.595;0.131209
05.560;05.596;0.21765
05.560;05.597;0.21765
05.560;05.598;0.141694
05.560;05.599;0.141694
05.560;05.600;0.108472
05.560;05.601;0.0536329
05.560;05.604;0.151668
05.560;05.607;0.151668
05.560;05.611;0.458049
05.560;05.613;0.161178
05.560;05.614;0.355789
05.560;05.615;0.0
05.560;05.616;0.355789
05.560;22.400;0.0
