ass;name_en;name_es;name_ca
05.554;Programming Fundamentals;Fundamentos de Programación;Fonaments de Programació
05.555;Programming Practices;Prácticas de Programación;Pràctiques de Programació
05.556;Administration and Management of Organizations;Administración y Gestión de Organizaciones;Administració i gestió d'organitzacions
05.557;Algebra;Álgebra;Àlgebra
05.558;Mathematical Analysis;Análisis Matemático;Anàlisi Matemàtica
05.559;English I;Inglés I;Anglès I
05.560;English II;Inglés II;Anglès II
05.561;Teamwork on the Net;Trabajo en Equipo en la Red;Treball en Equip a la Xarxa
05.562;Computer Fundamentals;Fundamentos de Computadores;Fonaments de Computadors
05.563;Communicative Competence for ICT Professionals;Competencia Comunicativa para Profesionales de las TIC;Competència comunicativa per a professionals de les TIC
05.564;Object Oriented Design and Programming;Diseño y Programación Orientada a Objetos;Disseny i Programació Orientada a Objectes
05.565;Software Engineering;Ingeniería del Software;Enginyeria del Programari
05.566;Operating Systems;Sistemas Operativos;Sistemes Operatius
05.567;Use of Databases;Uso de Bases de Datos;Ús de Bases de Dades
05.568;Statistics;Estadística;Estadística
05.569;Graphs and Complexity;Grafos y Complejidad;Grafs i Complexitat
05.570;Logic;Lógica;Lògica
05.571;Project Management;Gestión de Proyectos;Gestió de projectes
05.572;Internet Networks and Applications;Redes y Aplicaciones Internet;Xarxes i Aplicacions Internet
05.573;Computer Structure;Estructura de Computadores;Estructura de Computadors
05.574;Computer Network Security;Seguridad de Redes de Computadores;Seguretat de Xarxes de Computadors
05.575;Administration of Networks and Operating Systems;Administración de Redes y Sistemas Operativos;Administració de Xarxes i Sistemes Operatius
05.576;Computer Network Design;Diseño de Redes de Computadores;Disseny de Xarxes de Computadors
05.577;Design of Operating Systems;Diseño de Sistemas Operativos;Disseny de Sistemes Operatius
05.578;Computer Architecture;Arquitectura de Computadores;Arquitectura de Computadors
05.579;Automata and Grammars;Autómatas y Gramáticas;Autòmats i Gramàtiques
05.580;Compilers;Compiladores;Compiladors
05.581;Knowledge Representation;Representación del Conocimiento;Representació del Coneixement
05.582;Artificial Intelligence;Inteligencia Artificial;Intel·ligència Artificial
05.583;Computational Learning;Aprendizaje Computacional;Aprenentatge Computacional
05.584;Data Mining;Minería de Datos;Mineria de Dades
05.585;Database Design;Diseño de Bases de Datos;Disseny de Bases de Dades
05.586;Analysis and Design with Patterns;Análisis y Diseño con Patrones;Anàlisi i Disseny amb Patrons
05.587;Software Engineering of Components and Distributed Systems;Ingeniería del Software de Componentes y Sistemas Distribuidos;Enginyeria del Programari de Components i Sistemes Distribuïts
05.588;Software Development Project;Proyecto de Desarrollo del Software;Projecte de Desenvolupament del Programari
05.589;Distributed Systems;Sistemas Distribuidos;Sistemes Distribuïts
05.590;Human Computer Interaction;Interacción Persona Ordenador;Interacció Persona Ordinador
05.591;Computer Network Structure;Estructura de Redes de Computadores;Estructura de Xarxes de Computadors
05.592;Advanced Computer Architectures;Arquitecturas de Computadores Avanzadas;Arquitectures de Computadors Avançades
05.593;Requirements Engineering;Ingeniería de Requisitos;Enginyeria de Requisits
05.594;Embedded Systems;Sistemas Empotrados;Sistemes Encastats
05.595;Enterpreneurship;Iniciativa Emprendedora;Iniciativa Emprenedora
05.596;Fundamentals of Information Systems;Fundamentos de Sistemas de Información;Fonaments de sistemes d'informació
05.597;Information Systems Integration;Integración de Sistemas de Información;Integració de sistemes d'informació
05.598;Use of Information Systems in Organizations;Uso de Sistemas de Información en las Organizaciones;Ús de Sistemes d'Informació a les Organitzacions
05.599;Functional Management of IS/IT Services;Gestión Funcional de Servicios de SI/TI;Gestió Funcional de Serveis de SI/TI
05.600;Planning and Strategic Use of IS;Planificación y Uso Estratégico de SI;Planificació i Ús Estratègic de SI
05.601;Cryptography;Criptografía;Criptografia
05.604;Electronic Commerce;Comercio Electrónico;Comerç Electrònic
05.607;Database Architecture;Arquitectura de Bases de Datos;Arquitectura de Bases de Dades
05.611;Physical Foundations of Computer Science;Fundamentos Físicos de la Informática;Fonaments Físics de la Informàtica
05.613;Design of Data Structures;Diseño de Estructuras de Datos;Disseny d'estructures de dades
05.614;Introduction to Mathematics for Engineering;Iniciación a las Matemáticas para la Ingeniería;Iniciació a les Matemàtiques per a l'Enginyeria
05.615;Company Internship;Prácticas en Empresa;Pràctiques a Empresa
05.616;Final Degree Project;Trabajo Final de Grado;Treball Final de Grau
22.400;Computational Thinking;Pensamiento Computacional;Pensament Computacional
