subject_code;absolute_semester;semester_number;type;path;credits;name_en;name_es;name_ca;abbreviation_en;abbreviation_es;abbreviation_ca
05.554;1;0;B;0;6;Programming Fundamentals;Fundamentos de Programación;Fonaments de Programació;PF;FdP;FdP
05.555;2;0;B;0;6;Programming Practices;Prácticas de Programación;Pràctiques de Programació;PP;PrP;PrP
05.556;2;0;B;0;6;Administration and Management of Organizations;Administración y Gestión de Organizaciones;Administració i Gestió d'Organitzacions;A&MoO;AyGdO;AiGdO
05.557;2;0;B;0;6;Algebra;Álgebra;Àlgebra;Alg;Álg;Àlg
05.558;3;0;B;0;6;Mathematical Analysis;Análisis Matemático;Anàlisi Matemàtica;MA;AM;AM
05.559;2;0;O;0;6;English I;Inglés I;Anglès I;Eng1;Ing1;Ang1
05.560;4;0;O;0;6;English II;Inglés II;Anglès II;Eng2;Ing2;Ang2
05.561;1;0;B;0;6;Online Teamwork;Trabajo en Equipo en la Red;Treball en Equip a la Xarxa;OT;TeEelR;TeEalX
05.562;2;0;B;0;6;Computer Fundamentals;Fundamentos de Computadores;Fonaments de Computadors;CF;FdC;FdC
05.563;1;0;O;0;6;Communicative Competence for ICT Professionals;Competencia Comunicativa para Profesionales de las TIC;Competència Comunicativa per a Professionals de les TIC;CCICT;CCTIC;CCTIC
05.564;3;0;O;0;6;Object Oriented Design and Programming;Diseño y Programación Orientada a Objetos;Disseny i Programació Orientada a Objectes;OOD&P;DyPOO;DiPOO
05.565;1;0;O;0;6;Software Engineering;Ingeniería del Software;Enginyeria del Programari;SE;IdS;EdP
05.566;4;0;O;0;6;Operating Systems;Sistemas Operativos;Sistemes Operatius;OS;SO;SO
05.567;4;0;O;0;6;Use of Databases;Uso de Bases de Datos;Ús de Bases de Dades;UDB;UdBD;UdBD
05.568;4;0;B;0;6;Statistics;Estadística;Estadística;Stat;Est;Est
05.569;3;0;O;0;6;Graphs and Complexity;Grafos y Complejidad;Grafs i Complexitat;G&C;GyC;GiC
05.570;1;0;B;0;6;Logic;Lógica;Lògica;Log;Log;Log
05.571;5;0;O;0;6;Project Management;Gestión de Proyectos;Gestió de Projectes;PM;GdP;GdP
