type;path;tipologia_en;tipologia_ca;tipologia_es
B;0;Basic;Bàsica;Básica
O;0;Mandatory;Obligatòria;Obligatoria
T;0;Mandatory;Obligatòria;Obligatoria
C;0;Bridging;Complement;Complemento
P;0;Elective;Optativa;Optativa
P;1;Computer Engineering;Enginyeria de computadors;Ingeniería de computadores
P;2;Software Engineering;Enginyeria del programari;Ingeniería del software
P;3;Computing;Computació;Computación
P;4;Information Systems;Sistemes d'informació;Sistemas de información
P;5;Information Technologies;Tecnologies de la informació;Tecnologías de la información
